,Date,BTC_Price,Action,BTC_Held,USD_Balance
290,2022-02-01 22:00:00+00:00,38731.0,HOLD,0.0,10000.0
291,2020-02-23 15:00:00+00:00,9882.4,HOLD,0.0,10000.0
292,2022-05-02 02:30:00+00:00,38621.62,HOLD,0.0,10000.0
293,2022-11-13 02:00:00+00:00,16895.95,HOLD,0.0,10000.0
294,2023-08-25 11:00:00+00:00,26106.0,HOLD,0.0,10000.0
295,2021-07-28 06:00:00+00:00,39735.77,HOLD,0.0,10000.0
296,2023-08-24 13:30:00+00:00,26356.52,HOLD,0.0,10000.0
297,2023-04-24 04:00:00+00:00,27759.07,HOLD,0.0,10000.0
298,2020-07-05 22:30:00+00:00,9072.48,HOLD,0.0,10000.0
299,2020-07-06 06:00:00+00:00,9187.42,HOLD,0.0,10000.0
300,2020-11-07 02:00:00+00:00,15583.13,HOLD,0.0,10000.0
301,2022-09-18 18:30:00+00:00,19635.8,HOLD,0.0,10000.0
302,2023-02-12 06:30:00+00:00,21809.62,HOLD,0.0,10000.0
303,2021-05-05 20:00:00+00:00,56800.01,HOLD,0.0,10000.0
304,2021-04-02 19:00:00+00:00,58832.98,HOLD,0.0,10000.0
305,2021-05-22 12:30:00+00:00,38151.81,HOLD,0.0,10000.0
306,2023-08-31 07:00:00+00:00,27291.4,HOLD,0.0,10000.0
307,2020-05-02 00:30:00+00:00,8834.43,HOLD,0.0,10000.0
308,2021-05-15 18:30:00+00:00,47890.07,HOLD,0.0,10000.0
309,2022-09-23 03:00:00+00:00,19409.2,HOLD,0.0,10000.0
310,2020-06-15 10:30:00+00:00,9084.29,HOLD,0.0,10000.0
311,2021-08-09 12:00:00+00:00,45757.01,HOLD,0.0,10000.0
312,2020-09-11 23:30:00+00:00,10387.89,HOLD,0.0,10000.0
313,2020-01-22 01:00:00+00:00,8724.19,HOLD,0.0,10000.0
314,2021-10-11 13:00:00+00:00,56988.55,HOLD,0.0,10000.0
315,2023-07-03 09:30:00+00:00,30610.61,HOLD,0.0,10000.0
316,2022-05-19 21:00:00+00:00,30276.18,HOLD,0.0,10000.0
317,2020-08-14 22:00:00+00:00,11756.26,HOLD,0.0,10000.0
318,2020-01-29 16:00:00+00:00,9345.17,HOLD,0.0,10000.0
319,2021-06-22 15:30:00+00:00,31708.08,HOLD,0.0,10000.0
320,2021-07-11 11:00:00+00:00,33773.14,HOLD,0.0,10000.0
321,2022-07-23 20:00:00+00:00,22279.26,HOLD,0.0,10000.0
322,2020-10-01 20:00:00+00:00,10579.51,HOLD,0.0,10000.0
323,2021-08-29 14:00:00+00:00,48319.61,HOLD,0.0,10000.0
324,2021-06-28 14:00:00+00:00,34384.79,HOLD,0.0,10000.0
325,2020-03-08 18:30:00+00:00,8300.0,HOLD,0.0,10000.0
326,2021-03-27 06:30:00+00:00,55027.16,HOLD,0.0,10000.0
327,2022-12-09 11:30:00+00:00,17241.44,HOLD,0.0,10000.0
328,2020-07-15 14:00:00+00:00,9235.57,HOLD,0.0,10000.0
329,2022-03-23 04:30:00+00:00,41944.35,HOLD,0.0,10000.0
330,2023-01-15 09:30:00+00:00,20750.59,HOLD,0.0,10000.0
331,2020-08-21 19:30:00+00:00,11679.24,HOLD,0.0,10000.0
332,2021-02-27 01:00:00+00:00,47565.15,HOLD,0.0,10000.0
333,2020-10-07 08:30:00+00:00,10612.18,HOLD,0.0,10000.0
334,2021-07-08 09:30:00+00:00,32570.13,HOLD,0.0,10000.0
335,2020-05-04 09:30:00+00:00,8635.0,HOLD,0.0,10000.0
336,2020-02-20 17:30:00+00:00,9503.09,HOLD,0.0,10000.0
337,2022-11-24 02:30:00+00:00,16695.18,HOLD,0.0,10000.0
338,2022-03-11 09:30:00+00:00,39020.47,HOLD,0.0,10000.0
339,2023-03-24 23:30:00+00:00,27454.47,HOLD,0.0,10000.0
340,2021-05-25 01:30:00+00:00,38808.3,HOLD,0.0,10000.0
341,2023-09-25 11:30:00+00:00,26075.41,HOLD,0.0,10000.0
342,2020-04-25 01:30:00+00:00,7479.21,HOLD,0.0,10000.0
343,2021-04-12 15:00:00+00:00,59880.0,HOLD,0.0,10000.0
344,2022-05-15 08:30:00+00:00,29587.86,HOLD,0.0,10000.0
345,2022-04-14 19:30:00+00:00,39775.82,HOLD,0.0,10000.0
346,2021-09-15 14:00:00+00:00,47749.26,HOLD,0.0,10000.0
347,2023-01-30 23:30:00+00:00,22826.15,HOLD,0.0,10000.0
348,2022-08-03 07:30:00+00:00,22989.96,HOLD,0.0,10000.0
349,2020-08-07 07:00:00+00:00,11778.97,HOLD,0.0,10000.0
350,2022-08-31 01:30:00+00:00,20236.27,HOLD,0.0,10000.0
351,2021-08-06 12:30:00+00:00,40762.86,HOLD,0.0,10000.0
352,2021-07-10 09:30:00+00:00,33732.57,HOLD,0.0,10000.0
353,2022-11-01 06:00:00+00:00,20615.25,HOLD,0.0,10000.0
354,2020-10-05 15:30:00+00:00,10726.02,HOLD,0.0,10000.0
355,2023-07-17 13:30:00+00:00,30286.64,HOLD,0.0,10000.0
356,2020-02-25 16:00:00+00:00,9386.0,HOLD,0.0,10000.0
357,2022-01-03 17:30:00+00:00,46577.15,HOLD,0.0,10000.0
358,2021-11-11 21:00:00+00:00,64956.31,HOLD,0.0,10000.0
